customer_id,customer_type,specialty,practice_size,monthly_patient_volume,scheduling_need,patient_communication_need,analytics_need,claims_automation_need,practice_management_need,willingness_to_pay,price_sensitivity
C00066,Small Practice,Psychology,3,402,0.627,0.643,0.479,0.428,0.514,103.65,0.686
C00067,Small Practice,Counseling,4,352,0.792,0.759,0.384,0.7,0.46,110.86,0.607
C00068,Solo Provider,Therapy,1,94,0.752,0.845,0.308,0.737,0.371,63.93,0.749
C00069,Solo Provider,Psychology,1,162,0.439,0.772,0.762,0.237,0.225,62.13,0.875
C00070,Solo Provider,Counseling,1,156,0.825,0.632,0.378,0.474,0.011,71.23,0.686
C00071,Solo Provider,Psychology,1,141,0.911,0.729,0.127,0.404,0.567,83.53,0.962
C00072,Solo Provider,Counseling,1,175,0.665,0.415,0.459,0.515,0.603,69.5,0.823
C00073,Group Practice,Psychiatry,11,1161,0.76,0.763,0.506,0.452,0.754,199.5,0.286
C00074,Solo Provider,Counseling,1,114,0.612,0.825,0.465,0.288,0.432,62.76,0.807
C00075,Solo Provider,Counseling,1,143,0.606,0.644,0.378,0.926,0.332,64.25,0.763
C00076,Solo Provider,Psychology,1,138,0.454,0.715,0.429,0.27,0.245,48.88,0.832
C00077,Solo Provider,Psychology,1,101,0.739,0.961,0.491,0.265,0.241,59.61,0.771
C00078,Small Practice,Psychology,2,379,0.747,0.961,0.479,0.328,0.559,105.23,0.776
C00079,Small Practice,Psychiatry,3,550,0.793,0.612,0.187,0.632,0.538,94.26,0.794
C00080,Small Practice,Psychology,4,436,0.737,0.665,0.527,0.554,0.454,121.01,0.724
C00081,Small Practice,Counseling,2,343,0.674,0.574,0.395,0.249,0.39,92.04,0.698
C00082,Solo Provider,Therapy,1,153,0.763,0.904,0.402,0.313,0.354,51.4,0.988
C00083,Group Practice,Therapy,11,1717,0.874,0.224,0.677,0.735,0.508,171.75,0.385
C00084,Solo Provider,Psychiatry,1,64,0.651,0.596,0.391,0.453,0.547,46.72,0.679
C00085,Solo Provider,Psychiatry,1,168,0.671,0.58,0.448,0.548,0.289,53.69,0.851
C00086,Solo Provider,Psychology,1,99,0.655,0.251,0.641,0.482,0.469,73.95,0.848
C00087,Small Practice,Psychiatry,2,206,0.758,0.477,0.304,0.507,0.284,99.27,0.793
C00088,Solo Provider,Psychology,1,141,0.659,0.674,0.455,0.558,0.378,41.82,0.661
C00089,Solo Provider,Therapy,1,112,0.644,0.751,0.411,0.722,0.361,83.49,0.936
C00090,Small Practice,Psychiatry,2,589,0.519,0.653,0.663,0.57,0.469,125.71,0.511
C00091,Solo Provider,Psychology,1,145,0.401,0.587,0.098,0.328,0.752,46.8,0.762
C00092,Small Practice,Psychiatry,3,574,0.565,0.806,0.362,0.582,0.232,104.45,0.91
C00093,Solo Provider,Psychology,1,150,0.678,0.597,0.382,0.383,0.25,54.79,0.968
C00094,Solo Provider,Psychology,1,121,0.525,0.817,0.427,0.489,0.543,76.76,0.722
C00095,Solo Provider,Psychiatry,1,74,0.6,0.754,0.406,0.471,0.491,65.87,0.875
C00096,Small Practice,Psychiatry,4,274,0.94,0.756,0.451,0.437,0.576,106.18,0.662
C00097,Solo Provider,Counseling,1,126,0.751,0.64,0.646,0.726,0.448,74.28,0.937
C00098,Solo Provider,Counseling,1,106,0.804,0.831,0.618,0.668,0.463,68.53,0.996
C00099,Solo Provider,Therapy,1,81,0.668,0.584,0.167,0.746,0.214,46.41,0.817
C00100,Large Practice,Psychology,25,4081,0.582,0.446,0.854,0.681,0.714,290.69,0.317
C00101,Group Practice,Psychiatry,10,1149,0.551,0.654,0.681,0.869,0.369,190.95,0.418
C00102,Small Practice,Therapy,2,554,0.551,0.517,0.537,0.426,0.272,113.35,0.674
C00103,Solo Provider,Psychology,1,148,0.504,0.92,0.379,0.571,0.607,67.92,0.833
C00104,Large Practice,Therapy,35,4047,0.674,0.744,0.944,1.0,0.771,293.9,0.199
C00105,Small Practice,Psychiatry,5,545,0.471,0.525,0.359,0.812,0.291,107.15,0.521
C00106,Small Practice,Psychology,5,480,0.683,0.643,0.719,0.709,0.504,118.76,0.592
C00107,Solo Provider,Counseling,1,91,0.606,0.908,0.66,0.586,0.079,58.19,0.679
C00108,Solo Provider,Psychiatry,1,70,0.674,0.425,0.428,0.812,0.428,58.19,0.822
C00109,Solo Provider,Counseling,1,74,0.516,0.348,0.476,0.577,0.223,79.58,0.815
C00110,Group Practice,Counseling,13,1034,0.816,0.619,0.756,0.886,0.283,177.77,0.598
C00111,Solo Provider,Psychiatry,1,117,0.62,0.586,0.513,0.323,0.325,65.54,0.853
C00112,Solo Provider,Therapy,1,177,0.651,0.775,0.623,0.681,0.432,83.57,0.894
C00113,Solo Provider,Psychology,1,111,1.0,0.869,0.452,0.357,0.329,73.92,0.767
C00114,Small Practice,Therapy,2,230,0.879,0.4,0.235,0.501,0.26,86.19,0.524
C00115,Solo Provider,Counseling,1,142,0.702,0.538,0.384,0.511,0.52,69.79,0.947
C00116,Group Practice,Psychiatry,14,1623,0.673,0.737,0.719,0.893,0.319,190.37,0.427
C00117,Small Practice,Counseling,3,294,0.559,0.416,0.616,0.407,0.141,99.93,0.736
C00118,Small Practice,Psychology,2,343,0.563,0.63,0.662,0.25,0.151,92.01,0.587
C00119,Solo Provider,Psychiatry,1,105,0.626,0.766,0.628,0.559,0.452,71.55,0.827
C00120,Small Practice,Counseling,4,465,0.546,0.407,0.488,0.587,0.205,88.06,0.657
C00121,Small Practice,Counseling,2,230,0.606,0.448,0.571,0.495,0.508,95.55,0.606
C00122,Small Practice,Counseling,3,206,0.697,0.987,0.252,0.754,0.652,105.59,0.727
C00123,Solo Provider,Therapy,1,157,0.652,0.523,0.407,0.415,0.226,51.77,0.911
C00124,Solo Provider,Psychiatry,1,88,0.696,0.39,0.47,0.315,0.191,71.78,0.789
C00125,Solo Provider,Counseling,1,88,0.776,0.627,0.415,0.646,0.284,82.21,0.883
C00126,Solo Provider,Counseling,1,144,0.574,0.525,0.383,0.263,0.298,46.61,0.93
C00127,Solo Provider,Psychiatry,1,172,0.635,1.0,0.363,0.488,0.231,80.97,0.731
C00128,Solo Provider,Therapy,1,100,0.771,0.835,0.268,0.623,0.222,68.44,0.666
C00129,Solo Provider,Psychiatry,1,140,0.708,0.779,0.596,0.762,0.189,92.7,0.95
C00130,Small Practice,Psychology,2,261,0.45,0.401,0.411,0.866,0.389,92.1,0.588
C00131,Solo Provider,Psychology,1,137,0.502,0.807,0.451,0.869,0.462,70.53,0.883
C00132,Group Practice,Counseling,6,598,0.569,0.404,0.677,0.507,0.601,162.4,0.464
C00133,Small Practice,Therapy,2,299,0.745,0.611,0.615,0.402,0.478,104.54,0.814
C00134,Solo Provider,Psychiatry,1,171,0.786,0.992,0.521,0.631,0.363,57.97,0.723
C00135,Small Practice,Psychiatry,5,353,0.549,0.784,0.587,0.716,0.363,113.74,0.571
C00136,Solo Provider,Counseling,1,104,0.656,0.428,0.756,0.377,0.219,78.95,0.776
C00137,Large Practice,Therapy,23,1856,0.875,0.486,0.835,0.661,1.0,275.84,0.312
C00138,Solo Provider,Therapy,1,100,0.713,0.682,0.531,0.512,0.161,71.71,0.766
C00139,Small Practice,Psychiatry,3,368,0.801,0.656,0.462,0.739,0.143,116.0,0.582
C00140,Solo Provider,Therapy,1,173,0.975,1.0,0.473,0.59,0.491,78.9,0.928
C00141,Solo Provider,Psychology,1,139,0.769,0.744,0.327,0.456,0.29,44.52,0.681
C00142,Solo Provider,Psychology,1,160,0.636,0.603,0.481,0.606,0.396,57.33,0.774
C00143,Group Practice,Psychology,13,1530,0.685,0.572,0.617,0.531,0.504,176.49,0.394
C00144,Small Practice,Counseling,4,239,0.761,0.928,0.692,0.881,0.506,110.35,0.704
C00145,Solo Provider,Psychiatry,1,103,0.602,0.385,0.694,0.3,0.434,78.66,0.712
C00146,Solo Provider,Psychiatry,1,103,0.889,0.745,0.652,0.513,0.703,66.7,0.875
C00147,Solo Provider,Psychiatry,1,137,0.677,0.605,0.216,0.578,0.16,56.67,0.547
C00148,Small Practice,Counseling,3,435,0.571,0.091,0.367,0.506,0.309,110.48,0.689
C00149,Solo Provider,Psychology,1,70,0.777,0.835,0.631,0.339,0.434,64.3,0.9
C00150,Solo Provider,Therapy,1,74,0.78,0.383,0.302,0.399,0.436,75.75,0.822
C00151,Group Practice,Psychology,15,1334,0.554,0.744,0.555,0.577,0.341,199.61,0.479
C00152,Group Practice,Psychology,13,1455,0.853,0.639,0.38,0.504,0.441,182.39,0.418
C00153,Solo Provider,Therapy,1,129,0.977,0.392,0.392,0.36,0.178,60.89,0.81
C00154,Small Practice,Psychology,4,481,0.703,0.433,0.512,0.764,0.491,101.75,0.668
C00155,Solo Provider,Psychology,1,132,0.784,0.734,0.45,0.549,0.171,73.61,0.727
C00156,Small Practice,Therapy,4,222,0.714,0.916,0.586,0.508,0.239,113.33,0.794
C00157,Solo Provider,Therapy,1,178,0.97,1.0,0.272,0.294,0.0,67.3,0.892
C00158,Small Practice,Psychology,4,546,0.516,0.634,0.538,0.681,0.463,105.08,0.716
C00159,Small Practice,Psychology,2,516,0.795,0.436,0.688,0.732,0.456,125.77,0.678
C00160,Small Practice,Psychology,3,189,0.886,0.564,0.659,0.556,0.218,114.47,0.6
C00161,Solo Provider,Psychiatry,1,179,0.607,0.537,0.561,0.81,0.047,67.78,1.0
C00162,Group Practice,Psychology,8,1082,0.635,0.649,0.599,0.418,0.373,147.16,0.568
C00163,Solo Provider,Counseling,1,138,0.766,0.583,0.321,0.847,0.225,65.57,0.687
C00164,Solo Provider,Therapy,1,98,0.701,0.678,0.5,0.491,0.263,64.11,0.864
C00165,Small Practice,Psychology,2,519,0.922,0.628,0.644,0.733,0.579,109.9,0.719
C00166,Solo Provider,Therapy,1,175,0.69,0.606,0.14,0.634,0.405,63.84,0.883
C00167,Group Practice,Therapy,11,1668,0.493,0.44,0.244,0.609,0.432,172.88,0.36
C00168,Group Practice,Counseling,8,1350,0.485,1.0,0.564,0.412,0.394,164.81,0.433
C00169,Solo Provider,Therapy,1,72,0.688,0.984,0.4,0.584,0.521,88.09,0.92
C00170,Large Practice,Psychology,18,2550,0.699,0.204,0.691,0.902,0.809,289.77,0.291
C00171,Solo Provider,Psychology,1,167,0.642,0.521,0.395,0.321,0.461,70.97,0.829
C00172,Small Practice,Counseling,4,274,0.691,0.258,0.566,0.565,0.257,97.14,0.64
C00173,Solo Provider,Psychology,1,125,0.541,0.71,0.301,0.417,0.41,63.47,0.779
C00174,Group Practice,Psychology,8,1064,0.626,0.809,0.524,0.579,0.548,179.25,0.473
C00175,Solo Provider,Counseling,1,108,0.748,0.734,0.416,0.33,0.154,81.99,0.633
C00176,Solo Provider,Counseling,1,66,0.879,0.502,0.643,0.138,0.333,71.88,0.945
C00177,Solo Provider,Psychology,1,70,0.649,0.3,0.267,0.748,0.316,67.81,0.793
C00178,Large Practice,Therapy,24,3487,0.761,0.574,0.854,0.69,0.546,286.22,0.257
C00179,Group Practice,Therapy,6,1005,0.705,0.812,0.509,0.582,0.386,168.6,0.546
C00180,Small Practice,Psychiatry,4,444,0.477,0.849,0.398,0.56,0.775,129.22,0.73
C00181,Group Practice,Psychology,12,1125,0.861,0.655,0.685,0.988,0.524,177.1,0.452
C00182,Group Practice,Psychology,10,1581,0.616,0.834,0.353,0.713,0.433,173.33,0.523
C00183,Small Practice,Counseling,5,282,0.642,0.497,0.651,0.382,0.4,123.71,0.685
C00184,Solo Provider,Therapy,1,63,0.664,0.699,0.154,0.308,0.312,40.08,0.729
C00185,Small Practice,Therapy,2,262,0.739,0.675,0.376,0.537,0.463,105.88,0.624
C00186,Small Practice,Therapy,5,426,0.715,0.856,0.71,0.786,0.483,110.32,0.653
C00187,Solo Provider,Psychology,1,97,0.429,0.408,0.44,0.494,0.58,58.17,0.931
C00188,Solo Provider,Psychology,1,100,0.628,0.773,0.586,0.723,0.294,48.14,0.901
C00189,Small Practice,Therapy,3,379,0.696,0.649,0.189,0.47,0.607,109.93,0.607
C00190,Solo Provider,Counseling,1,178,0.705,0.841,0.494,0.354,0.376,72.51,0.96
C00191,Group Practice,Psychiatry,15,670,1.0,0.859,0.798,0.734,0.73,171.53,0.526
C00192,Solo Provider,Psychology,1,165,0.676,0.56,0.436,0.248,0.097,62.57,0.925
C00193,Solo Provider,Counseling,1,93,0.338,0.546,0.597,0.464,0.555,51.36,0.905
C00194,Group Practice,Therapy,8,1164,0.633,0.4,0.352,0.459,0.398,174.66,0.478
C00195,Solo Provider,Counseling,1,118,0.813,0.602,0.555,0.487,0.302,39.15,0.99
C00196,Solo Provider,Counseling,1,167,0.419,0.719,0.425,0.268,0.21,68.99,0.708
C00197,Small Practice,Counseling,3,365,0.946,0.364,0.29,0.292,0.597,100.69,0.692
C00198,Group Practice,Therapy,12,518,0.691,0.448,0.707,0.612,0.386,172.18,0.507
C00199,Solo Provider,Psychiatry,1,65,0.681,0.81,0.498,0.362,0.416,73.16,0.835
C00200,Solo Provider,Therapy,1,121,0.855,0.539,0.565,0.219,0.35,81.36,0.773
C00201,Small Practice,Psychiatry,3,156,0.791,0.333,0.442,0.392,0.775,105.68,0.583
C00202,Large Practice,Counseling,36,4596,0.462,0.555,1.0,0.947,0.653,319.78,0.243
C00203,Small Practice,Counseling,3,530,0.883,0.473,0.687,0.528,0.643,84.54,0.65
C00204,Solo Provider,Counseling,1,82,0.633,0.582,0.247,0.788,0.29,60.97,0.958
C00205,Solo Provider,Psychiatry,1,175,0.561,0.888,0.454,0.501,0.176,68.97,0.754
C00206,Solo Provider,Counseling,1,85,0.619,0.574,0.475,0.764,0.323,101.9,0.731
C00207,Solo Provider,Counseling,1,115,0.635,0.616,0.411,0.465,0.38,69.98,0.892
C00208,Small Practice,Counseling,2,591,0.857,0.688,0.536,0.712,0.219,95.59,0.9
C00209,Solo Provider,Counseling,1,72,0.518,0.437,0.611,0.898,0.283,72.74,0.835
C00210,Small Practice,Psychology,4,281,1.0,0.924,0.474,0.638,0.516,98.87,0.648
C00211,Small Practice,Therapy,5,200,0.872,0.875,0.494,0.604,0.62,108.89,0.48
C00212,Small Practice,Psychiatry,2,257,0.745,0.447,0.498,0.698,0.004,90.13,0.668
C00213,Solo Provider,Counseling,1,119,0.454,0.665,0.445,0.508,0.316,46.46,0.698
C00214,Group Practice,Psychiatry,12,1309,0.764,0.526,0.759,0.684,0.556,178.67,0.346
C00215,Small Practice,Therapy,4,508,0.776,0.564,0.118,0.433,0.35,92.41,0.559
C00216,Small Practice,Counseling,2,571,0.694,0.828,0.254,0.472,0.095,79.64,0.607
C00217,Solo Provider,Psychiatry,1,174,0.761,0.833,0.401,0.339,0.21,84.31,0.827
C00218,Solo Provider,Counseling,1,115,0.762,0.583,0.437,0.507,0.672,75.23,0.923
C00219,Group Practice,Psychiatry,13,1012,0.745,0.739,0.583,0.513,0.739,196.5,0.452
C00220,Solo Provider,Psychiatry,1,179,0.778,0.715,0.945,0.547,0.204,90.07,0.772
C00221,Solo Provider,Psychiatry,1,72,0.506,0.515,0.631,0.466,0.351,56.93,0.907
C00222,Solo Provider,Psychiatry,1,170,0.492,0.755,0.504,0.394,0.194,75.07,0.773
C00223,Small Practice,Psychiatry,4,495,0.601,0.436,0.455,0.605,0.739,108.06,0.672
C00224,Large Practice,Psychiatry,32,2006,0.804,0.546,1.0,0.88,0.961,310.91,0.355
C00225,Solo Provider,Counseling,1,98,0.929,0.544,0.583,0.54,0.515,68.4,0.779
C00226,Group Practice,Psychiatry,15,1064,0.754,0.502,0.877,0.805,0.609,197.47,0.403
C00227,Solo Provider,Psychiatry,1,117,0.461,0.718,0.563,0.112,0.397,68.27,0.869
C00228,Small Practice,Counseling,4,488,0.651,0.463,0.24,0.734,0.527,96.12,0.767
C00229,Small Practice,Psychiatry,4,482,0.475,0.493,0.529,0.661,0.674,98.25,0.626
C00230,Solo Provider,Therapy,1,112,0.562,0.526,0.798,0.641,0.535,73.98,0.776
C00231,Solo Provider,Therapy,1,118,0.624,0.598,0.364,0.436,0.375,67.27,0.718
C00232,Solo Provider,Psychiatry,1,79,0.743,0.618,0.341,0.53,0.292,77.74,0.805
C00233,Large Practice,Psychology,30,4531,1.0,0.637,0.962,0.732,1.0,298.25,0.287
C00234,Small Practice,Counseling,5,284,0.66,0.725,0.551,0.553,0.333,100.73,0.573
C00235,Group Practice,Therapy,6,1508,0.799,0.793,0.54,0.637,0.433,165.18,0.276
C00236,Group Practice,Psychology,11,531,0.544,0.548,0.635,0.439,0.441,153.11,0.605
C00237,Solo Provider,Psychiatry,1,94,0.525,0.515,0.435,0.344,0.454,73.46,0.935
C00238,Small Practice,Psychiatry,3,363,0.493,0.606,0.565,0.684,0.667,118.99,0.757
C00239,Solo Provider,Psychiatry,1,142,1.0,0.667,0.422,0.542,0.231,46.29,0.807
C00240,Solo Provider,Psychiatry,1,91,0.683,0.821,0.632,0.348,0.679,76.12,0.815
C00241,Group Practice,Therapy,13,1458,0.607,0.839,0.67,0.674,0.618,184.86,0.306
C00242,Small Practice,Therapy,5,298,0.863,0.627,0.76,0.346,0.294,112.83,0.836
C00243,Solo Provider,Psychology,1,83,0.657,0.64,0.344,0.559,0.398,52.49,0.802
C00244,Small Practice,Therapy,2,224,0.621,0.473,0.67,0.893,0.677,107.71,0.715
C00245,Small Practice,Psychiatry,5,215,0.761,0.574,0.723,0.214,0.396,93.97,0.73
C00246,Group Practice,Therapy,15,1522,0.789,0.923,0.481,0.447,0.478,166.27,0.296
C00247,Small Practice,Therapy,4,572,0.885,0.594,0.515,0.386,0.517,94.85,0.838
C00248,Solo Provider,Therapy,1,157,0.755,0.653,0.525,0.578,0.647,80.72,0.852
C00249,Solo Provider,Psychiatry,1,177,0.637,0.801,0.321,0.531,0.8,76.72,0.55
C00250,Solo Provider,Therapy,1,140,0.666,0.613,0.479,0.469,0.401,90.89,0.751
C00251,Small Practice,Therapy,3,438,0.785,0.53,0.635,0.661,0.467,97.9,0.547
C00252,Group Practice,Psychiatry,7,1200,0.585,0.765,0.413,0.755,0.373,158.5,0.354
C00253,Solo Provider,Psychiatry,1,118,0.617,0.723,0.475,0.326,0.364,71.86,0.686
C00254,Solo Provider,Therapy,1,70,0.696,0.699,0.728,0.485,0.226,53.96,0.858
C00255,Solo Provider,Therapy,1,131,0.668,0.542,0.36,0.469,0.503,77.67,0.911
C00256,Small Practice,Counseling,4,159,0.661,0.226,0.565,0.161,0.133,94.64,0.634
C00257,Group Practice,Psychology,9,1538,0.93,0.733,0.548,0.844,0.747,173.94,0.501
C00258,Solo Provider,Therapy,1,86,0.483,0.642,0.307,0.456,0.407,48.05,0.602
C00259,Solo Provider,Psychiatry,1,125,0.624,0.641,0.391,0.466,0.262,56.46,0.655
C00260,Small Practice,Psychiatry,2,323,0.653,0.67,0.543,0.64,0.291,115.53,0.492
C00261,Solo Provider,Counseling,1,126,0.557,0.7,0.625,0.806,0.406,58.73,0.906
C00262,Group Practice,Counseling,14,818,0.65,0.712,0.902,0.71,0.461,207.71,0.324
C00263,Solo Provider,Counseling,1,165,0.777,0.731,0.413,0.558,0.22,51.52,0.839
C00264,Solo Provider,Therapy,1,66,0.604,0.064,0.413,0.359,0.336,79.89,0.8
C00265,Group Practice,Psychiatry,8,666,0.75,0.739,0.701,0.673,0.536,146.22,0.521
C00266,Solo Provider,Psychiatry,1,94,1.0,0.936,0.498,0.272,0.55,77.9,0.731
C00267,Solo Provider,Psychology,1,64,1.0,0.39,0.475,0.151,0.362,75.86,0.757
C00268,Solo Provider,Counseling,1,163,0.636,0.855,0.311,0.464,0.329,69.11,0.85
C00269,Solo Provider,Psychiatry,1,82,0.74,0.769,0.33,0.578,0.609,77.77,0.632
C00270,Solo Provider,Psychology,1,65,0.802,0.913,0.574,0.529,0.433,67.76,0.726
C00271,Solo Provider,Psychiatry,1,163,0.923,0.731,0.328,0.558,0.542,60.43,0.899
C00272,Solo Provider,Therapy,1,173,0.23,0.721,0.332,0.618,0.511,87.26,0.911
C00273,Solo Provider,Psychiatry,1,95,0.962,0.898,0.685,0.505,0.175,70.68,1.0
C00274,Small Practice,Psychology,2,292,0.617,0.824,0.113,0.454,0.371,107.42,0.696
C00275,Small Practice,Psychiatry,4,494,0.799,0.871,0.862,0.668,0.353,134.16,0.523
C00276,Solo Provider,Psychology,1,146,0.811,0.646,0.222,0.354,0.463,40.95,0.835
C00277,Solo Provider,Psychology,1,109,0.465,0.894,0.496,0.433,0.517,84.62,0.835
C00278,Small Practice,Psychiatry,3,283,0.721,0.599,0.534,0.825,0.329,95.09,0.715
C00279,Group Practice,Counseling,7,1163,0.731,0.717,0.538,0.33,0.522,155.0,0.477
C00280,Group Practice,Therapy,8,1349,0.662,0.768,0.632,0.446,0.515,156.14,0.539
C00281,Solo Provider,Counseling,1,163,0.709,0.891,0.274,0.708,0.611,69.71,0.778
C00282,Solo Provider,Therapy,1,108,0.672,0.226,0.45,0.592,0.479,63.63,0.712
C00283,Solo Provider,Psychiatry,1,88,0.847,0.639,0.236,0.722,0.336,51.21,0.909
C00284,Solo Provider,Counseling,1,72,0.776,0.634,0.288,0.106,0.596,77.43,0.825
C00285,Small Practice,Psychology,4,490,0.79,0.592,0.583,0.792,0.434,92.16,0.84
C00286,Solo Provider,Psychiatry,1,98,0.459,0.828,0.342,0.859,0.569,84.31,0.959
C00287,Solo Provider,Counseling,1,134,0.451,0.919,0.24,0.781,0.468,75.38,0.792
